地区,第一档(月薪),第二档(月薪),第三档(月薪),第四档(月薪),第一档（时薪）,第二档（时薪）,第三档（时薪）,第四档（时薪）
北京,2320,0,0,0,25.3,0,0,0
天津,2180,0,0,0,22.6,0,0,0
河北,1900,1790,1680,1580,19,18,17,16
山西,1880,1760,1630,0,19.8,18.5,17.2,0
内蒙古,1980,1910,1850,0,20.8,20.1,19.5,0
辽宁,1910,1710,1580,1420,19.2,17.2,15.9,14.3
吉林,1880,1760,1640,1540,19,18,17,16
黑龙江,1860,1610,1450,0,18,14,13,0
上海,2590,0,0,0,23,0,0,0
江苏,2280,2070,1840,0,22,20,18,0
浙江,2280,2070,1840,0,22,20,18,0
安徽,1650,1500,1430,1340,20,18,17,16
福建,2030,1960,1810,1660,21,20.5,19,17.5
江西,1850,1730,1610,0,18.5,17.3,16.1,0
山东,2100,1900,1700,0,21,19,17,0
河南,2000,1800,1600,0,19.6,17.6,15.6,0
湖北,2010,1800,1650,1520,19.5,18,16.5,15
湖南,1930,1740,1550,0,19,17,15,0
广东,2300,1900,1720,1620,22.2,18.1,17,16.1
其中：深圳,2360,0,0,0,22.2,0,0,0
广西,1810,1580,1430,0,17.5,15.3,14,0
海南,1830,1730,1680,0,16.3,15.4,14.9,0
重庆,2100,2000,0,0,21,20,0,0
四川,2100,1970,1870,0,22,21,20,0
贵州,1790,1670,1570,0,18.6,17.5,16.5,0
云南,1670,1500,1350,0,15,14,13,0
西藏,1850,0,0,0,18,0,0,0
陕西,1950,1850,1750,0,19,18,17,0
甘肃,1820,1770,1720,1670,19,18.4,17.9,17.4
青海,1700,0,0,0,15.2,0,0,0
宁夏,1950,1840,1750,0,18,17,16,0
新疆,1900,1700,1620,1540,19,17,16.2,15.4
